,Point ID,Observed Value [mGal],Time,Voltage [V],Temperature [°C],Altitude,Counter Reading,Remark,Date,Profile,ID,lat,lon,ele,time,cmt,name,x,y,Ele_tiff,minutes,drift factor,Corrected Value [mGal],Reading difference [mGal],abs_Grav,Elevation_corrected_normal,gravity_disturbance_Tomasz_Leo,Theo_Grav,gravity_disturbance_Andrea,gravity_disturbance_comparison,gravity_bouger_corrected,gravity_bouger_corrected1800,gravity_bouger_corrected2000,gravity_bouger_corrected2200,gravity_bouger_corrected2400,gravity_bouger_corrected2600,bouger_rho_delta,regional,residual
57,2001,4866.661432,1900-01-01 14:26:00,12.6,49.9,29,4756.4,,8.12.2022,,24,51.45832596346736,6.235839994624257,28.914265,2022-12-08T13:25:30Z,,2001,307973.7467075867,5704418.693116295,27.01,88.0,0.0002963526011563441,4866.635352971098,-0.48750002890210453,981183.9924999711,981191.3425495044,-7.35004953329917,981191.345118381,-7.352618409902789,-0.002568876603618264,-10.37432555144187,-9.388887204579078,-9.615424909046851,-9.841962375096045,-10.06849984114524,-10.295037545613013,-0.9061503410339355,-9.22376773545085,-1.1505578159910215
58,3001,4866.8152390000005,1900-01-01 14:38:00,12.6,49.9,22,4756.55,,8.12.2022,,35,51.45664103329182,6.231794971972704,22.080627,2022-12-08T13:37:39Z,,3001,307685.7029245967,5704241.974336643,22.0525,100.0,0.0002963526011563441,4866.785603739885,-0.33724926011473144,981184.1427507398,981192.7236390393,-8.580888299504295,981192.7257464401,-8.582995700300671,-0.0021074007963761687,-11.050079373875633,-10.245511321583763,-10.430469541111961,-10.61542776064016,-10.800385741749778,-10.985343961277977,-0.7398326396942139,-10.31818825964848,-0.7318911142271531
59,3002,4865.072093000001,1900-01-01 14:46:00,12.6,49.9,17,4754.85,,8.12.2022,,36,51.454706992954016,6.224189987406135,16.672348,2022-12-08T13:44:55Z,,3002,307149.30293324264,5704046.945834868,18.705,108.0,0.0002963526011563441,4865.040086919076,-2.0827660809236477,981182.397233919,981193.5858817108,-11.188647791743279,981193.5876791228,-11.190445203799754,-0.0017974120564758778,-13.283023402094841,-12.600586339831352,-12.75746850669384,-12.914350554347038,-13.071232602000237,-13.228114649653435,-0.6275283098220825,-12.472963784160413,-0.8100596179344279
60,2002,4865.789859,1900-01-01 14:52:00,12.5,49.9,16,4755.55,,8.12.2022,,25,51.459734039381146,6.222970001399517,15.986069,2022-12-08T13:51:19Z,,2002,307085.7636409309,5704609.084093639,18.14,114.0,0.0002963526011563441,4865.756074803468,-1.3667781965314134,981183.1132218034,981194.2041763004,-11.09095449699089,981194.2059221349,-11.09270033147186,-0.001745834480971098,-13.122067644726485,-12.460244252812117,-12.612387611996382,-12.764530851971358,-12.916674211155623,-13.068817570339888,-0.608573317527771,-12.312858944330685,-0.8092087003958
61,2003,4866.661432,1900-01-01 14:59:00,12.5,49.9,20,4756.4,,8.12.2022,,26,51.459386022761464,6.228301981464028,20.186523,2022-12-08T14:00:11Z,,2003,307454.6348898456,5704556.353218138,20.455,121.0,0.0002963526011563441,4866.62557333526,-0.4972796647398354,981183.9827203352,981193.459034388,-9.476314052706584,981193.4609941534,-9.478273818152957,-0.00195976544637233,-11.766634925967082,-11.02035056031309,-11.191910251742229,-11.363469823962077,-11.535029396181926,-11.706589206820354,-0.6862386465072632,-10.936773615926825,-0.8298613100402576
62,2004,4867.3791980000005,1900-01-01 15:05:00,12.6,49.9,32,4757.1,,8.12.2022,,27,51.45971702411771,6.244283001869917,32.113579,2022-12-08T14:06:08Z,,2004,308566.0042764812,5704551.244664492,32.225,127.0,0.0002963526011563441,4867.341561219654,0.21870821965421783,981184.6987082197,981189.85604315,-5.15733493026346,981189.8591015334,-5.160393313737586,-0.003058383474126458,-8.765527850948274,-7.58982456382364,-7.860101348720491,-8.130377895198762,-8.400654441677034,-8.670931226573884,-1.0811066627502441,-7.357202601423808,-1.4083252495244665
63,3003,4868.096964,1900-01-01 15:18:00,12.6,49.9,33,4757.8,,8.12.2022,,37,51.45643098279834,6.249495036900043,33.443352,2022-12-08T14:18:17Z,,3003,308914.2827137086,5704172.2734740265,34.65,140.0,0.0002963526011563441,4868.055474635838,0.9326216358385864,981185.4126216358,981188.8175010132,-3.4048793773399666,981188.8207873779,-3.408165742061101,-0.003286364721134305,-7.284596965764649,-6.020419166539796,-6.311034963582642,-6.60165052220691,-6.892265842412598,-7.182881639455445,-1.1624624729156494,-6.642211301056989,-0.6423856647076605
64,3004,4868.1995019999995,1900-01-01 15:25:00,12.5,49.9,35,4757.9,,8.12.2022,,38,51.453351974487305,6.255909036844969,35.375656,2022-12-08T14:25:13Z,,3004,309346.9729433627,5703813.215667822,39.7775,147.0,0.0002963526011563441,4868.15593816763,1.0330851676299062,981185.5130851676,981186.9632438614,-1.4501586938276887,981186.9670168459,-1.4539316783193499,-0.003772984491661191,-5.903996088542044,-4.452745535410941,-4.786366322077811,-5.119987108744681,-5.453607656992972,-5.787228682078421,-1.3344831466674805,-5.792123069092952,-0.11187301944909223
65,3005,4869.635034,1900-01-01 15:32:00,12.5,49.9,33,4759.3,by the highway,8.12.2022,,39,51.454600961878896,6.264245007187128,33.436508,2022-12-08T14:32:24Z,,3005,309931.22817403346,5703930.409344129,38.135002,154.0,0.0002963526011563441,4869.589395699421,2.4665426994215522,981186.9465426994,981187.5804189901,-0.6338762907544151,981187.584035915,-0.6374932156177238,-0.003616924863308668,-4.9038052229443565,-3.512479749158956,-3.832324948743917,-4.15216967149172,-4.4720143942395225,-4.7918595938244835,-1.2793798446655273,-4.601479075537384,-0.3023261474069727
66,3006,4870.198993,1900-01-01 15:40:00,12.5,49.9,31,4759.85,,8.12.2022,,40,51.452427031472325,6.271278010681272,31.301773,2022-12-08T14:40:04Z,,3006,310410.7593095172,5703670.467695548,36.72,162.0,0.0002963526011563441,4870.150983878612,3.028130878612501,981187.5081308786,981187.8251043432,-0.3169734646799043,981187.8285862927,-0.32045541412662715,-0.003481949446722865,-4.428466098499484,-3.0887663533212617,-3.396743552875705,-3.7047205140115693,-4.0126972367288545,-4.320674674701877,-1.2319083213806152,-3.961071433886275,-0.46739466461320944
